TANGGAL,TX,RH_AVG,RR,FF_X,FF_AVG
26-04-2023,32.5,88,4.9,5,1
27-04-2023,33.1,91,0,5,1
28-04-2023,31.2,94,11.4,3,1
29-04-2023,31.5,93,9.7,5,1
30-04-2023,30.9,93,4.5,5,1
30-04-2023,30.9,93,4.5,5,1
01-05-2023,33.2,85,3.8,5,2
02-05-2023,34,85,0,5,2
03-05-2023,33.3,92,0,4,1
03-05-2023,33.3,92,0,4,1
04-05-2023,32.2,94,32.2,5,1
05-05-2023,33.1,89,46.9,4,1
06-05-2023,31.7,88,-,5,2
06-05-2023,31.7,88,-,5,2
07-05-2023,30,90,13.4,5,3
07-05-2023,30,90,13.4,5,3
08-05-2023,33.7,86,0,8,3
08-05-2023,33.7,86,0,8,3
09-05-2023,32,86,3.6,4,2
10-05-2023,33.6,84,8888,5,2
10-05-2023,33.6,84,8888,5,2
11-05-2023,33.5,86,0,6,3
11-05-2023,33.5,86,0,6,3
12-05-2023,33.7,85,0,4,2
12-05-2023,33.7,85,0,4,2
13-05-2023,32.9,90,0,4,1
13-05-2023,32.9,90,0,4,1
14-05-2023,33.3,91,10,8,2
15-05-2023,32.2,88,17.5,4,1
15-05-2023,32.2,88,17.5,4,1
16-05-2023,30,94,-,6,1
17-05-2023,32.7,89,52.9,5,1
18-05-2023,32.2,84,8888,4,2
19-05-2023,31.5,89,0,5,2
20-05-2023,32.6,87,0,8,3
21-05-2023,-,97,0,5,1
22-05-2023,32.4,90,108,6,2
23-05-2023,29.7,92,-,5,2
24-05-2023,32.6,87,21.9,5,2
25-05-2023,32.6,85,0,11,3
26-05-2023,-,96,9.8,5,1
27-05-2023,31.6,91,5.2,5,1
28-05-2023,30.5,94,9.8,5,2
29-05-2023,31.4,92,8.6,5,1
30-05-2023,32.7,90,0.4,6,2
31-05-2023,32.3,86,0.5,5,2
01-06-2023,30.2,97,0,7,2
02-06-2023,32.2,88,26.2,5,2
03-06-2023,32.8,89,0,7,2
04-06-2023,32,92,0,13,2
05-06-2023,31.8,88,5.8,5,2
06-06-2023,28.9,93,0,4,1
07-06-2023,30.8,90,0.7,6,2
08-06-2023,32,87,13.5,6,2
09-06-2023,32.6,86,0,7,2
10-06-2023,32.2,86,0,6,3
11-06-2023,32.9,84,0,6,3
12-06-2023,32.2,91,-,6,3
13-06-2023,31.6,89,11.8,7,3
14-06-2023,30.2,95,0,7,2
15-06-2023,30.4,89,9,7,2
16-06-2023,32.1,85,13.5,5,2
17-06-2023,32.8,79,0,5,2
18-06-2023,31.6,85,0,4,2
19-06-2023,32.3,84,8888,4,1
20-06-2023,31.4,83,0.2,5,2
21-06-2023,31.6,85,0,5,2
22-06-2023,32.6,78,8888,5,2
23-06-2023,32.6,79,0,5,2
24-06-2023,31.8,82,0,7,2
25-06-2023,31,86,0,6,2
26-06-2023,29.8,86,40.2,5,2
27-06-2023,31.5,88,1.4,5,1
28-06-2023,30.3,89,24.6,5,2
29-06-2023,32.2,83,1,6,2
30-06-2023,28.9,90,0.5,8,2
01-07-2023,28.8,89,28.9,6,2
02-07-2023,31.4,87,1.2,5,2
